seed,noise_type,level,elapsed_s,accuracy,precision,recall,f1
46,none,L0,19.57819890975952,0.61468200270636,0.6212458286985539,0.7092063492063492,0.662318410910169
46,depolarizing,L1,26.63079595565796,0.6160351826792964,0.623734533183352,0.7041269841269842,0.6614971667163734
46,depolarizing,L2,26.932758808135986,0.61468200270636,0.6245714285714286,0.693968253968254,0.6574436090225564
46,depolarizing,L3,26.226492166519165,0.6041948579161028,0.6271186440677966,0.6342857142857142,0.6306818181818182
46,depolarizing,L4,37.24660301208496,0.5602165087956699,0.6063418406805878,0.49777777777777776,0.5467224546722455
46,phase_damping,L1,22.893085956573486,0.61468200270636,0.6219239373601789,0.706031746031746,0.6613143027059173
46,phase_damping,L2,23.92396068572998,0.6140054127198917,0.6223224351747464,0.700952380952381,0.6593012839653628
46,phase_damping,L3,25.304797649383545,0.6096075778078485,0.6230274693161894,0.6768253968253968,0.6488131466828971
46,phase_damping,L4,23.576218366622925,0.6072395128552097,0.6277777777777778,0.6457142857142857,0.6366197183098592
46,readout,L1,24.02431344985962,0.6153585926928281,0.6218020022246941,0.7098412698412698,0.6629113548769642
46,readout,L2,24.00533390045166,0.6163734776725305,0.622568093385214,0.7111111111111111,0.6639004149377593
46,readout,L3,24.116750955581665,0.6133288227334236,0.6210762331838565,0.7034920634920635,0.6597201548079785
46,readout,L4,24.480602741241455,0.6143437077131259,0.6228119706380576,0.7003174603174603,0.6592946802151823
46,combined,L2,30.328418016433716,0.6177266576454669,0.6275071633237822,0.6952380952380952,0.6596385542168675
