seed,epsilon,noise_type,level,attack_success_rate,robustness_accuracy,accuracy,precision,recall,f1
42,0.0,none,L0,0.04501607717041801,0.614,0.614,0.627177700348432,0.6766917293233082,0.650994575045208
42,0.0,depolarizing,L1,0.05144694533762058,0.61,0.61,0.624561403508772,0.6691729323308271,0.6460980036297641
42,0.0,depolarizing,L2,0.05466237942122187,0.618,0.618,0.6334519572953736,0.6691729323308271,0.6508226691042047
42,0.0,depolarizing,L3,0.1382636655948553,0.614,0.614,0.6540084388185654,0.5827067669172933,0.6163021868787276
42,0.0,depolarizing,L4,0.3729903536977492,0.534,0.534,0.6153846153846154,0.3308270676691729,0.43031784841075793
42,0.0,phase_damping,L1,0.04823151125401929,0.612,0.612,0.6267605633802817,0.6691729323308271,0.6472727272727272
42,0.0,phase_damping,L2,0.04823151125401929,0.616,0.616,0.6321428571428571,0.6654135338345865,0.6483516483516484
42,0.0,phase_damping,L3,0.06109324758842444,0.632,0.632,0.6518518518518519,0.6616541353383458,0.6567164179104478
42,0.0,phase_damping,L4,0.1157556270096463,0.63,0.63,0.6680497925311203,0.6052631578947368,0.6351084812623274
42,0.0,readout,L1,0.04501607717041801,0.612,0.612,0.6258741258741258,0.6729323308270677,0.6485507246376812
42,0.0,readout,L2,0.04823151125401929,0.61,0.61,0.624561403508772,0.6691729323308271,0.6460980036297641
42,0.0,readout,L3,0.04823151125401929,0.608,0.608,0.6223776223776224,0.6691729323308271,0.644927536231884
42,0.0,readout,L4,0.05787781350482315,0.61,0.61,0.6263345195729537,0.6616541353383458,0.643510054844607
42,0.0,combined,L2,0.05466237942122187,0.618,0.618,0.6344086021505376,0.6654135338345865,0.6495412844036698
42,0.02,none,L0,0.3504823151125402,0.626,0.626,0.6561264822134387,0.6240601503759399,0.6396917148362236
42,0.02,depolarizing,L1,0.3633440514469453,0.624,0.624,0.6611570247933884,0.6015037593984962,0.6299212598425197
42,0.02,depolarizing,L2,0.3665594855305466,0.612,0.612,0.6565217391304348,0.5676691729323309,0.6088709677419355
42,0.02,depolarizing,L3,0.41479099678456594,0.57,0.57,0.6424581005586593,0.4323308270676692,0.5168539325842697
42,0.02,depolarizing,L4,0.4630225080385852,0.534,0.534,0.6341463414634146,0.2932330827067669,0.40102827763496146
42,0.02,phase_damping,L1,0.35691318327974275,0.624,0.624,0.657258064516129,0.6127819548872181,0.6342412451361867
42,0.02,phase_damping,L2,0.3504823151125402,0.622,0.622,0.6624472573839663,0.5902255639097744,0.6242544731610338
42,0.02,phase_damping,L3,0.3762057877813505,0.596,0.596,0.6523809523809524,0.5150375939849624,0.5756302521008403
42,0.02,phase_damping,L4,0.40836012861736337,0.576,0.576,0.65,0.4398496240601504,0.5246636771300448
42,0.02,readout,L1,0.3408360128617363,0.628,0.628,0.6587301587301587,0.6240601503759399,0.640926640926641
42,0.02,readout,L2,0.3440514469453376,0.628,0.628,0.66,0.6203007518796992,0.6395348837209303
42,0.02,readout,L3,0.35691318327974275,0.626,0.626,0.6573705179282868,0.6203007518796992,0.6382978723404256
42,0.02,readout,L4,0.36012861736334406,0.624,0.624,0.6598360655737705,0.6052631578947368,0.6313725490196078
42,0.02,combined,L2,0.3536977491961415,0.622,0.622,0.6652360515021459,0.5827067669172933,0.6212424849699398
42,0.05,none,L0,0.6141479099678456,0.55,0.55,0.5879828326180258,0.5150375939849624,0.5490981963927856
